,loss,val_loss,accuracy,val_accuracy
0,2.3044617652893065,2.3038249015808105,0.09505454545454546,0.095
1,0.0033559515963901172,0.5800349712371826,0.41425454545454543,0.8274
2,0.0007181009766730395,0.23558805882930756,0.8953818181818182,0.9268
3,0.00040498294234275815,0.17769941687583923,0.9383454545454546,0.9444
4,0.00029449025744741615,0.16425463557243347,0.9552363636363637,0.9514
5,0.00024283871420405128,0.1683507263660431,0.9635090909090909,0.95
6,0.00020299181362444705,0.13916191458702087,0.9691090909090909,0.9562
7,0.0001699527766216885,0.12039853632450104,0.9743272727272727,0.9648
8,0.00013598690554499627,0.12843728065490723,0.9806181818181818,0.9592
9,0.00011518213061446493,0.1274692565202713,0.9831818181818182,0.9636
10,0.00010634583431211385,0.11895357817411423,0.984890909090909,0.967
11,9.61237346245484e-05,0.11792116612195969,0.9862363636363637,0.9652
12,8.109751899134029e-05,0.1248278096318245,0.9887818181818182,0.963
13,7.433727930553935e-05,0.13252511620521545,0.9898545454545454,0.9622
14,7.396774457936937e-05,0.11488569527864456,0.9896909090909091,0.966
15,6.397800877351653e-05,0.10999131202697754,0.9912,0.9722
16,5.477442893792283e-05,0.11227931827306747,0.992909090909091,0.9694
17,5.591972754760222e-05,0.11529663950204849,0.9922,0.967
18,5.053712705319578e-05,0.12386641651391983,0.9933454545454545,0.9664
19,4.86861810257489e-05,0.10585618019104004,0.9936,0.969
20,4.0018761386586864e-05,0.11604394763708115,0.9951272727272727,0.9686
